Artist,Stage,Date,Time
"LIQUID STRANGER","Basspod","Sunday May 18","TBA"
"LIZDEK","BeatBox Art Car","Sunday May 18","TBA"
"LOSTLY","Quantum Valley","Saturday May 17","TBA"
"LOUD LUXURY","Cosmic Meadow","Sunday May 18","TBA"
"LUCKY LOU","Blacklight Bar","Friday May 16","TBA"
"LUCKY LOU","yeEDC!","Saturday May 17","TBA"
"LUCKY LOU","yeEDC!","Sunday May 18","TBA"
"LUMBERJVCK","Forest House","Sunday May 18","TBA"
"MADDIX","Circuit Grounds","Sunday May 18","TBA"
"MADDIX B2B BEN NICKY","Quantum Valley","Saturday May 17","TBA"
"MALCOLM ZELLER","Metaphoenix","Saturday May 17","TBA"
"MALIXE","BeatBox Art Car","Sunday May 18","TBA"
"MALUGI","Bionic Jungle","Friday May 16","TBA"
"MARC V","Forest House","Saturday May 17","TBA"
"MARIANNA HADAD","BeatBox Art Car","Saturday May 17","TBA"
"MARIE VAUNT","Quantum Valley","Friday May 16","TBA"
"MARLON HOFFSTADT","Kinetic Field","Sunday May 18","TBA"
"MARTIN GARRIX","Kinetic Field","Sunday May 18","TBA"
"THE MARTINEZ BROTHERS B2B LOCO DICE","Neon Garden","Saturday May 17","TBA"
"MASHA MAR","Neon Garden","Friday May 16","TBA"
"MATRODA","Cosmic Meadow","Sunday May 18","TBA"
"MATRODA & FRIENDS","Stereo Bloom","Friday May 16","TBA"
"MATT FAULK","Forest House","Friday May 16","TBA"
"MATTILO","Stereo Bloom","Friday May 16","TBA"
"MATTILO","Metaphoenix","Sunday May 18","TBA"
"MAU P","Circuit Grounds","Saturday May 17","TBA"
"MAX STYLER","Circuit Grounds","Friday May 16","TBA"
"MAZ","Stereo Bloom","Saturday May 17","TBA"
"MCR-T","Bionic Jungle","Saturday May 17","TBA"
"MEDUZA","Kinetic Field","Saturday May 17","TBA"
"MEEDY + PIZZI","Ubuntu","Sunday May 18","TBA"
"MER BEAR","Blacklight Bar","Friday May 16","TBA"
"MIKE POSNER: ALIVE AGAIN","Kinetic Field","Sunday May 18","TBA"
"MISH","Wasteland","Saturday May 17","TBA"
"MISS MONIQUE","Quantum Valley","Sunday May 18","TBA"
"MIYUKI","Quantum Valley","Saturday May 17","TBA"
"MOCHAKK","Circuit Grounds","Friday May 16","TBA"
"MOONLGHT","yeEDC!","Saturday May 17","TBA"
"MPH","Metaphoenix","Sunday May 18","TBA"
"MR. BROOKS","Quantum Valley","Friday May 16","TBA"
